SYMBOL,SUFFIX,NAME OF COMPANY,Status,Last_Price(5d)
DQE,.NS,DQ Entertainment (International) Limited,Listed,0.85
DENORA,.NS,De Nora India Limited,Listed,709.3
ENIL,.NS,Entertainment Network (India) Limited,Listed,114.94
ENERGYDEV,.NS,Energy Development Company Limited,Listed,20.21
ELGIRUBCO,.NS,Elgi Rubber Company Limited,Listed,52.94
EXIDEIND,.NS,Exide Industries Limited,Listed,373.75
FOSECOIND,.NS,Foseco India Limited,Listed,5182.5
GAIL,.NS,GAIL (India) Limited,Listed,170.71
GRAVITA,.NS,Gravita India Limited,Listed,1844.2
GLENMARK,.NS,Glenmark Pharmaceuticals Limited,Listed,1975.0
GUJALKALI,.NS,Gujarat Alkalies and Chemicals Limited,Listed,507.2
HCG,.NS,Healthcare Global Enterprises Limited,Listed,715.15
HDFCNIFETF,.NS,HDFCAMC - HDFCNIFETF,Listed,289.9
GVKPIL,.NS,GVK Power & Infrastructure Limited,Listed,3.21
HIKAL,.NS,Hikal Limited,Listed,252.71
HINDCOMPOS,.NS,Hindustan Composites Limited,Listed,420.15
HUBTOWN,.NS,Hubtown Limited,Listed,245.1
HEG,.NS,HEG Limited,Listed,534.5
HEIDELBERG,.NS,HeidelbergCement India Limited,Listed,175.42
IVZINNIFTY,.NS,Invesco India Nifty Exchange Traded Fund,Listed,2966.82
INDNIPPON,.NS,India Nippon Electricals Limited,Listed,797.7
INDUSINDBK,.NS,IndusInd Bank Limited,Listed,846.15
JBCHEPHARM,.NS,JB Chemicals & Pharmaceuticals Limited,Listed,1798.0
KEC,.NS,KEC International Limited,Listed,690.95
LOTUSEYE,.NS,Lotus Eye Care Hospital Limited,Listed,129.34
LUMAXIND,.NS,Lumax Industries Limited,Listed,5496.0
LUXIND,.NS,Lux Industries Limited,Listed,1119.2
MAANALU,.NS,Maan Aluminium Limited,Listed,156.44
MANINDS,.NS,Man Industries (India) Limited,Listed,443.4
MFSL,.NS,Max Financial Services Limited,Listed,1719.0
MASTEK,.NS,Mastek Limited,Listed,2172.4
METKORE,.NS,Metkore Alloys & Industries Limited,Listed,0.65
MENONBE,.NS,Menon Bearings Limited,Listed,106.03
MINDACORP,.NS,Minda Corporation Limited,Listed,584.95
PARAGMILK,.NS,Parag Milk Foods Limited,Listed,320.0
MUTHOOTCAP,.NS,Muthoot Capital Services Limited,Listed,277.95
NAGREEKCAP,.NS,Nagreeka Capital & Infrastructure Limited,Listed,27.1
NAVINFLUOR,.NS,Navin Fluorine International Limited,Listed,6122.5
NDGL,.NS,Naga Dhunseri Group Limited,Listed,2926.3
NDTV,.NS,New Delhi Television Limited,Listed,82.15
NEULANDLAB,.NS,Neuland Laboratories Limited,Listed,16079.0
NETWORK18,.NS,Network18 Media & Investments Limited,Listed,42.87
OMKARCHEM,.NS,Omkar Speciality Chemicals Limited,Listed,5.21
OBEROIRLTY,.NS,Oberoi Realty Limited,Listed,1659.8
ONELIFECAP,.NS,Onelife Capital Advisors Limited,Listed,16.94
ORIENTBELL,.NS,Orient Bell Limited,Listed,269.15
PILITA,.NS,PIL ITALICA LIFESTYLE LIMITED,Listed,10.59
PENINLAND,.NS,Peninsula Land Limited,Listed,26.7
PFC,.NS,Power Finance Corporation Limited,Listed,344.2
PINCON,.NS,Pincon Spirit Limited,Listed,6.9
PREMEXPLN,.NS,Premier Explosives Limited,Listed,502.3
PUNJABCHEM,.NS,Punjab Chemicals & Crop Protection Limited,Listed,1256.4
QGOLDHALF,.NS,Quantum Gold Fund -Exchange Traded Fund (ETF),Listed,109.38
QUICKHEAL,.NS,Quick Heal Technologies Limited,Listed,281.1
RANEHOLDIN,.NS,Rane Holdings Limited,Listed,1360.8
RBLBANK,.NS,RBL Bank Limited,Listed,307.6
SADBHIN,.NS,Sadbhav Infrastructure Project Limited,Listed,3.73
SETCO,.NS,Setco Automotive Limited,Listed,15.09
SATIN,.NS,Satin Creditcare Network Limited,Listed,143.49
SCI,.NS,Shipping Corporation Of India Limited,Listed,225.42
SHARDAMOTR,.NS,Sharda Motor Industries Limited,Listed,950.2
SKMEGGPROD,.NS,SKM Egg Products Export (India) Limited,Listed,437.6
SPECIALITY,.NS,Speciality Restaurants Limited,Listed,116.72
SUZLON,.NS,Suzlon Energy Limited,Listed,53.02
TCS,.NS,Tata Consultancy Services Limited,Listed,3220.5
TEAMLEASE,.NS,Teamlease Services Limited,Listed,1602.6
TIL,.NS,TIL Limited,Listed,266.95
TNPETRO,.NS,Tamilnadu PetroProducts Limited,Listed,104.34
TORNTPOWER,.NS,Torrent Power Limited,Listed,1290.8
TRIDENT,.NS,Trident Limited,Listed,27.63
TRF,.NS,TRF Limited,Listed,302.25
TTKPRESTIG,.NS,TTK Prestige Limited,Listed,640.55
TVTODAY,.NS,TV Today Network Limited,Listed,135.1
UTINIFTETF,.NS,UTI Mutual Fund - UTI-Nifty Exchange Traded Fund,Listed,286.74
UCOBANK,.NS,UCO Bank,Listed,29.06
UNITECH,.NS,Unitech Limited,Listed,6.0
UNIVCABLES,.NS,Universal Cables Limited,Listed,895.25
UPL,.NS,UPL Limited,Listed,748.35
VASWANI,.NS,Vaswani Industries Limited,Listed,58.5
VGUARD,.NS,V-Guard Industries Limited,Listed,330.5
